galname,full-PACS_70,full-PACS_100,full-PACS_160,full-SPIRE_250,full-SPIRE_350,full-SPIRE_500,full-dust luminosity,full-dust mass,full-dust temperature,pred-PACS_70,pred-PACS_100,pred-PACS_160,pred-SPIRE_250,pred-SPIRE_350,pred-SPIRE_500,pred-dust luminosity,pred-dust mass,pred-dust temperature,fullerr-PACS_70,fullerr-PACS_100,fullerr-PACS_160,fullerr-SPIRE_250,fullerr-SPIRE_350,fullerr-SPIRE_500,fullerr-dust luminosity,fullerr-dust mass,fullerr-dust temperature,prederr-PACS_70,prederr-PACS_100,prederr-PACS_160,prederr-SPIRE_250,prederr-SPIRE_350,prederr-SPIRE_500,prederr-dust luminosity,prederr-dust mass,prederr-dust temperature,color-PACS_70,color-PACS_100,color-PACS_160,color-SPIRE_250,color-SPIRE_350,color-SPIRE_500,color-dust luminosity,color-dust mass,color-dust temperature
G12.DR1.1506,1.6667267999523894,2.048815430398122,2.150582546624025,1.9478156577034307,1.6440956144474959,1.245337442916694,16971889172.040771,28557158.31437626,22.419099398696403,1.6792145,2.0162919,2.0825624,1.8679593,1.5599668,1.1684257,12566350366.98574,19183163.38846741,23.56246948653905,0.15564780039011067,0.1102761921936254,0.059872883514714224,0.04311769621207362,0.05356733458224386,0.06681120888955454,2833483820.041808,10683448.14195251,1.8465375589828474,0.15834822,0.1221931,0.09413897,0.102997385,0.11828306,0.1323258,3770753733.38009,9778258.489459042,2.0797265,1.9574682780109607,3.444919182485683,5.40814758022229,5.506121345702208,4.913942565821755,4.508180639973817,0.251719462768362,0.22743304410805557,0.016160573544652446
G15.DR1.5224,1.9890227727501935,2.244516717769107,2.2211265185829414,1.9340301476962312,1.5917406766414477,1.1682389246127751,8145366116.566494,6044024.133484206,25.752297149246832,2.0490904,2.257827,2.1662028,1.8440721,1.4824319,1.0537349,8347288807.862371,4203110.678636082,28.384075181828045,0.17159869885359677,0.10383769484583519,0.05473526762601531,0.05931482975365339,0.07374648575884088,0.0864545058592901,1571285318.8084662,2469808.572584238,3.057583464140969,0.15935251,0.12309665,0.095410384,0.10517294,0.12113056,0.13635828,2674226174.7844,2476807.4609053857,2.618029,0.6706619564479992,1.6490459503991413,4.71131796327437,5.297918078184595,4.15342452184699,3.5336554876692046,0.4255428519836794,0.04941687050728597,0.0018042726170643297
G09.DR1.20175,1.1240124973454393,1.569011483281488,1.834987680415482,1.7758405795256764,1.5490427869186048,1.2058504314328908,8161605139.195194,45701956.16856536,19.09425904493598,1.2703078,1.6651704,1.8488508,1.7483702,1.5006489,1.1380123,9046972607.00025,36525863.307472035,20.597946161739557,0.3162774505586542,0.23328104600877542,0.12308636396891326,0.07919043345499735,0.09495649437648657,0.12277352653341857,2152952718.9051476,33997659.45313435,3.715594225005254,0.22724774,0.18179072,0.13595107,0.14224221,0.1584176,0.17446128,2852272550.7395167,21418669.159030758,2.86809,1.111250151074295,1.664352456580043,3.4762676100426755,5.424995842694988,5.625729496083353,4.834464807667144,0.42019984645214875,0.2651285963679048,0.017419004839723543
G09.DR1.19001,1.775036449758116,2.0112128710952217,1.9880438742325044,1.711087245389854,1.3816318137267285,0.9659711001056385,18268834778.756214,14150398.570404246,27.265885063376842,1.6717261,2.0174842,2.1007512,1.9071882,1.6066508,1.2206798,21382714545.362034,33388999.014454864,23.23508455131315,0.2763292146784784,0.19496790237924227,0.11136124355068598,0.08833397974003794,0.10730634672587862,0.13172208809359254,6224192185.968123,12691409.037410703,4.306761602629523,0.17406368,0.13818814,0.10601731,0.11269345,0.12688977,0.13955574,5607843449.603855,15785421.249667715,2.072686,1.816589857592629,3.3796000649289133,3.216453994604992,1.7043826831126738,1.4325448315766924,1.1820881687080484,0.31320374381264043,0.0968659366284927,0.005537985835352972
G15.DR1.4508,1.6005325834011077,1.9172466883204675,1.9652162240206916,1.738677246586921,1.427365330224479,1.0267312453150055,6939312529.814486,10673862.023433646,23.586975111446634,1.6107136,1.9598222,2.0377576,1.8249462,1.5197079,1.1340069,7911864276.130323,11696905.930746548,23.385543817534273,0.2595330190847056,0.1876065698891413,0.10345507419568653,0.06278307104313428,0.07484297350016707,0.095742989140583,1957336119.9189968,6974129.041721141,3.1167947565537033,0.14796996,0.114274144,0.088061154,0.09615429,0.110462226,0.12343005,2361114002.6043696,5821554.440405939,1.946171,2.0134651758339537,3.0609361232522625,4.540832643164444,4.776865085516629,4.461818946094832,3.797691929027208,0.3949512727071692,0.20075812230397042,0.01767881877788694
G15.DR1.25412,2.0499939355167327,2.3879818102221866,2.465452677335848,2.2636921707853643,1.9698081036803856,1.5797628884937205,10585582251.450235,19362212.333160788,23.887742873113787,1.7339411,2.0635743,2.222423,2.0879853,1.8423942,1.4747612,9103029137.756462,30654912.987151805,22.260360719057164,0.26304007172026533,0.19682636364766729,0.11894723730389119,0.08932847325236466,0.10921970031979887,0.1386305769754947,3533924140.449438,17112512.785278767,3.6004807508213847,0.18730628,0.14196816,0.10820382,0.11936212,0.13779065,0.15635815,2536593786.1151586,18425808.76177848,3.211059,0.5166069658613313,0.3337811451459391,0.42714324545546656,0.5103986837699431,0.3998692462260822,0.3991123074932652,0.3463327919735042,0.22015707711836172,0.01614112891218453
G09.DR1.3384,1.1810483854913534,1.6309017497607605,1.837710622472154,1.7326558582597082,1.479173230211633,1.1174179646973754,9774318188.163069,40600772.414176345,19.75319072223283,1.4422116,1.8550664,2.0015345,1.8603426,1.5626378,1.1769654,16447275222.029528,43435327.71872153,21.378221523566534,0.26496752481821145,0.2001409632031824,0.10477929405066198,0.051926159473328126,0.06557198896188554,0.09034123730438842,2344331239.550562,24310990.82992685,2.6259825744177014,0.15392019,0.1182544,0.091389574,0.10050284,0.115809,0.12979083,4745187776.636188,20400780.761397548,1.8556244,0.8048988683510678,0.9697757198497584,1.9105724116710086,3.5515640541238,4.845303145195274,4.745481835665736,0.08882059702585346,0.23985951009744588,0.019941779677317688
G12.DR1.1339,1.407311398565864,1.815399622644904,1.9542818604315009,1.7811375898739574,1.491175040087645,1.1019327400675185,14368870388.94694,31456570.396571938,21.511763710323766,1.44068,1.8323277,1.9642794,1.7856535,1.496419,1.1033117,16463177573.004541,36963403.06922253,21.828422560604857,0.20368312435993724,0.1337946028347442,0.06305554316720606,0.04397734912685358,0.057047567608739365,0.07115523578388346,2744725143.062451,11404681.92899433,2.220485911890554,0.16585077,0.12862152,0.09927404,0.108248055,0.12383567,0.13801563,4971783138.429297,17944646.528154086,1.9557985,1.9439711141028777,3.0415889370287963,5.518546374141087,6.075860840627665,5.764634912090985,5.252652428047155,0.37415273159426543,0.2716409032069094,0.0232490449041213
G09.DR1.58,1.3357193358839263,1.696149094751217,1.7834262826429523,1.5632402834797852,1.2489204784144574,0.8436475873070014,32273072609.35461,48710810.43272551,22.481576273877458,1.4390513,1.7506089,1.7714875,1.5054529,1.1632605,0.7179483,35444555848.766396,38904653.36080565,24.011703489796588,0.15783544448208786,0.10559759116443665,0.053798599942194415,0.03354585689684531,0.03658137822420878,0.042777510827856455,5395146143.872485,10182672.034092007,1.6671419417087376,0.21877341,0.18382369,0.14541124,0.14994727,0.16860667,0.18310122,14293580210.0654,24621438.401346605,2.705359,1.6388846335797964,2.437033115331164,2.304122179715532,1.1143294790948826,0.7454860845845416,0.44897550500699734,0.19466330564224177,0.24899828094475576,0.012782564828196145
G09.DR1.76,1.5041716633158217,1.903057577833123,2.0122974905189874,1.8097583386008715,1.5015503194686262,1.1017432506436016,9765895157.355629,19952665.180323564,21.482521158143843,1.4155717,1.815118,1.9413584,1.7593963,1.4662068,1.07326,6266558049.928232,14819258.111766675,21.0812263457107,0.0909978813981622,0.05486698578664367,0.02535156386115745,0.034627278239993425,0.044939901189495916,0.05270328067843194,787252153.0938072,4220906.180466908,1.109568403893117,0.15137126,0.11809255,0.091631584,0.100096166,0.11465297,0.12767674,2379694610.2308593,8018928.080553544,2.0012136,1.7412111917198316,2.6318631241928996,4.450829663068371,5.50613679973346,5.266025273774854,4.861665475436006,0.12359464810960583,0.2151466645139997,0.02130220469699222
