# PLW
# energy
# SPIRE Herschel
3381805 0.00000
3393281 0.00001
3404834 0.00001
3415300 0.00001
3427004 0.00001
3438789 0.00002
3450655 0.00002
3462603 0.00002
3473428 0.00004
3485535 0.00005
3497726 0.00006
3510003 0.00009
3521126 0.00014
3533568 0.00019
3546099 0.00022
3558718 0.00027
3571428 0.00034
3582945 0.00033
3595828 0.00028
3608805 0.00029
3621876 0.00034
3635041 0.00039
3646973 0.00046
3660322 0.00043
3673769 0.00043
3687315 0.00043
3699593 0.00048
3713330 0.00047
3727171 0.00052
3741114 0.00056
3755163 0.00069
3767897 0.00096
3782148 0.00112
3796507 0.00136
3810975 0.00158
3825554 0.00208
3838771 0.00257
3853564 0.00315
3868471 0.00403
3883495 0.00512
3897116 0.00644
3912363 0.00847
3927729 0.01143
3943217 0.01510
3958828 0.01958
3972983 0.02529
3988831 0.03295
4004805 0.04212
4020908 0.05378
4037141 0.06942
4051863 0.08847
4068348 0.11264
4084967 0.14852
4101722 0.19129
4116920 0.24172
4133939 0.28245
4151100 0.31820
4168403 0.35031
4185851 0.36242
4201680 0.37113
4219409 0.38239
4237288 0.39407
4255319 0.40269
4271678 0.41460
4290004 0.42098
4308487 0.43083
4327131 0.43092
4345936 0.43544
4363001 0.42638
4382120 0.42480
4401408 0.43349
4420866 0.44092
4440497 0.44289
4458314 0.43950
4478280 0.43979
4498425 0.41864
4518752 0.41303
4537205 0.41141
4557885 0.40662
4578754 0.40362
4599816 0.41613
4621072 0.42916
4640371 0.43220
4662004 0.44633
4683840 0.43759
4705882 0.43106
4728132 0.41599
4748338 0.41206
4770992 0.39425
4793863 0.39123
4816955 0.38304
4837929 0.39336
4861448 0.40476
4885197 0.41159
4909180 0.41226
4933399 0.40431
4955401 0.40274
4980079 0.39847
5005005 0.39899
5030181 0.39734
5055611 0.39097
5078720 0.38140
5104645 0.38739
5130836 0.39384
5157297 0.38327
5181347 0.38769
5208333 0.38882
5235602 0.37562
5263157 0.37705
5291005 0.38658
5316321 0.40610
5344735 0.39906
5373455 0.40301
5402485 0.40703
5431830 0.39698
5458515 0.39420
5488474 0.37992
5518763 0.37474
5549389 0.38161
5577244 0.36893
5608524 0.37980
5640157 0.40715
5672149 0.40961
5704506 0.41452
5733944 0.40972
5767012 0.39834
5800464 0.38720
5834305 0.39116
5865102 0.38633
5899705 0.40152
5934718 0.41527
5970149 0.40148
6006006 0.40201
6038647 0.40499
6075334 0.40170
6112469 0.17279
6150061 0.09557
6188118 0.06313
6222775 0.04576
6261740 0.03538
6301197 0.02732
6341154 0.02175
6377551 0.01767
6418485 0.01460
6459948 0.01188
6501950 0.00960
6544502 0.00800
6583278 0.00724
6626905 0.00624
6671114 0.00530
6715916 0.00490
6761325 0.00438
6802721 0.00384
6849315 0.00339
6896551 0.00291
6944444 0.00245
6988120 0.00215
7037297 0.00192
7087172 0.00180
7137758 0.00154
7189072 0.00142
7235890 0.00122
7288629 0.00117
7342143 0.00106
7396449 0.00094
7451564 0.00088
7501875 0.00081
7558578 0.00068
7616146 0.00062
7674597 0.00059
7727975 0.00052
7788161 0.00044
7849293 0.00041
7911392 0.00037
7974481 0.00036
8032128 0.00033
8097165 0.00030
8163265 0.00028
8230452 0.00027
8298755 0.00024
8361204 0.00024
8431703 0.00022
8503401 0.00019
8576329 0.00016
8643042 0.00014
8718395 0.00013
8795074 0.00012
8873114 0.00012
8952551 0.00009
9025270 0.00009
9107468 0.00008
9191176 0.00008
9276437 0.00000
