# PMW
# energy
# SPIRE Herschel
2370229 0.00000
2375861 0.00001
2380952 0.00000
2386634 0.00000
2392344 0.00000
2398081 0.00001
2403846 0.00000
2409058 0.00001
2414875 0.00001
2420721 0.00001
2426595 0.00000
2431906 0.00000
2437835 0.00001
2443792 0.00000
2449779 0.00001
2455795 0.00001
2461235 0.00001
2467308 0.00000
2473410 0.00001
2479543 0.00001
2485707 0.00001
2491280 0.00001
2497502 0.00001
2503755 0.00001
2510040 0.00001
2515723 0.00001
2522068 0.00001
2528445 0.00001
2534854 0.00001
2541296 0.00002
2547121 0.00002
2553626 0.00002
2560163 0.00003
2566735 0.00003
2573340 0.00004
2579313 0.00004
2585983 0.00005
2592688 0.00005
2599428 0.00006
2605523 0.00006
2612330 0.00008
2619172 0.00009
2626050 0.00011
2632964 0.00013
2639218 0.00017
2646202 0.00020
2653223 0.00025
2660281 0.00031
2666666 0.00038
2673796 0.00047
2680965 0.00060
2688172 0.00074
2695417 0.00092
2701972 0.00113
2709292 0.00132
2716653 0.00153
2724053 0.00177
2731494 0.00201
2738225 0.00230
2745744 0.00268
2753303 0.00307
2760905 0.00348
2767783 0.00396
2775464 0.00453
2783189 0.00507
2790957 0.00559
2798768 0.00621
2805836 0.00697
2813731 0.00754
2821670 0.00844
2829654 0.00955
2837684 0.01048
2844950 0.01256
2853067 0.01634
2861230 0.01812
2869440 0.02335
2876869 0.02819
2885170 0.03464
2893518 0.04130
2901915 0.04929
2910360 0.05732
2918004 0.06741
2926543 0.08270
2935133 0.10381
2943773 0.13014
2952465 0.16145
2960331 0.19542
2969121 0.22868
2977963 0.25170
2986857 0.26717
2994908 0.28083
3003905 0.29455
3012955 0.30391
3022061 0.31061
3031221 0.32132
3039513 0.32388
3048780 0.32109
3058103 0.31918
3067484 0.31984
3076923 0.32463
3085467 0.32063
3095017 0.33291
3104625 0.34320
3114294 0.34890
3123048 0.35046
3132832 0.35657
3142677 0.36237
3152585 0.35776
3162555 0.35507
3171582 0.35149
3181673 0.34248
3191828 0.34119
3202049 0.34560
3211303 0.36428
3221649 0.38431
3232062 0.40796
3242542 0.41578
3253090 0.42186
3262642 0.40761
3273322 0.40326
3284072 0.39142
3294892 0.38587
3305785 0.39067
3315649 0.40019
3326679 0.40424
3337783 0.41623
3348961 0.42096
3359086 0.42298
3370407 0.42313
3381805 0.42180
3393281 0.41595
3404834 0.41528
3415300 0.41588
3427004 0.41873
3438789 0.43050
3450655 0.43349
3462603 0.42562
3473428 0.41191
3485535 0.41003
3497726 0.40044
3510003 0.40277
3521126 0.41903
3533568 0.44182
3546099 0.46432
3558718 0.46624
3571428 0.47049
3582945 0.46207
3595828 0.43854
3608805 0.42684
3621876 0.42081
3635041 0.41906
3646973 0.42742
3660322 0.43068
3673769 0.44467
3687315 0.44688
3699593 0.45143
3713330 0.45600
3727171 0.46244
3741114 0.45634
3755163 0.44884
3767897 0.44323
3782148 0.43976
3796507 0.43837
3810975 0.43559
3825554 0.43465
3838771 0.44246
3853564 0.43288
3868471 0.42188
3883495 0.40977
3897116 0.40445
3912363 0.39837
3927729 0.39851
3943217 0.38476
3958828 0.37173
3972983 0.34048
3988831 0.31508
4004805 0.27531
4020908 0.24167
4037141 0.20541
4051863 0.18135
4068348 0.15024
4084967 0.13046
4101722 0.11376
4116920 0.09755
4133939 0.08052
4151100 0.06647
4168403 0.03232
4185851 0.01511
4201680 0.00885
4219409 0.00579
4237288 0.00407
4255319 0.00290
4271678 0.00219
4290004 0.00172
4308487 0.00134
4327131 0.00104
4345936 0.00083
4363001 0.00067
4382120 0.00055
4401408 0.00048
4420866 0.00044
4440497 0.00038
4458314 0.00033
4478280 0.00028
4498425 0.00024
4518752 0.00021
4537205 0.00018
4557885 0.00017
4578754 0.00016
4599816 0.00016
4621072 0.00015
4640371 0.00014
4662004 0.00013
4683840 0.00012
4705882 0.00011
4728132 0.00010
