# PSW
# energy
# SPIRE Herschel
1666666 0.00016
1669449 0.00013
1672240 0.00009
1674761 0.00005
1677570 0.00001
1680389 0.0000
1691474 0.00000
1694340 0.00004
1697216 0.00009
1699813 0.00015
1702707 0.00021
1705611 0.00021
1708525 0.00021
1711449 0.00022
1714089 0.00023
1717032 0.00025
1719986 0.00030
1722949 0.00037
1725625 0.00041
1728608 0.00035
1731601 0.00028
1734605 0.00021
1737619 0.00014
1740341 0.00006
1743375 0.00006
1746419 0.00006
1749475 0.00007
1752541 0.00010
1755309 0.00013
1758396 0.00011
1761493 0.00008
1764602 0.00006
1767408 0.00004
1770538 0.00002
1773678 0.00011
1776830 0.00024
1779992 0.00035
1782848 0.00038
1786033 0.00042
1789228 0.00033
1792435 0.00014
1795654 -0.00004
1798561 -0.00004
1801801 -0.00004
1805054 0.00007
1808318 0.00032
1811266 0.00058
1814552 0.00064
1817851 0.00068
1821161 0.00066
1824484 0.00050
1827485 0.00034
1830831 0.00033
1834189 0.00039
1837559 0.00045
1840942 0.00055
1843997 0.00066
1847404 0.00077
1850823 0.00089
1854255 0.00102
1857355 0.00120
1860811 0.00139
1864280 0.00147
1867762 0.00142
1871257 0.00137
1874414 0.00129
1877934 0.00122
1881467 0.00118
1885014 0.00129
1888574 0.00139
1891789 0.00149
1895375 0.00157
1898974 0.00165
1902587 0.00162
1905850 0.00159
1909490 0.00153
1913143 0.00144
1916810 0.00134
1920491 0.00148
1923816 0.00163
1927525 0.00182
1931247 0.00206
1934984 0.00230
1938360 0.00246
1942124 0.00259
1945903 0.00273
1949697 0.00295
1953506 0.00318
1956947 0.00354
1960784 0.00397
1964636 0.00438
1968503 0.00464
1972386 0.00490
1975894 0.00523
1979805 0.00564
1983733 0.00605
1987676 0.00673
1991238 0.00743
1995211 0.00820
1999200 0.00908
2003205 0.00998
2007226 0.01126
2010858 0.01267
2014910 0.01418
2018978 0.01620
2023062 0.01828
2027163 0.02067
2030869 0.02316
2035002 0.02572
2039151 0.02981
2043318 0.03390
2047082 0.03848
2051282 0.04376
2055498 0.04919
2059732 0.05668
2063983 0.06432
2067824 0.07342
2072109 0.08546
2076411 0.09733
2080732 0.10992
2085070 0.12325
2088991 0.13641
2093364 0.14812
2097755 0.15985
2102165 0.17381
2106149 0.18882
2110595 0.20341
2115059 0.22175
2119542 0.24042
2124044 0.25691
2128112 0.27051
2132650 0.28445
2137208 0.28962
2141786 0.29268
2146383 0.29565
2150537 0.29978
2155172 0.30402
2159827 0.30877
2164502 0.31371
2168726 0.31791
2173440 0.32101
2178174 0.32507
2182929 0.32739
2187705 0.32782
2192021 0.32863
2196836 0.33523
2201673 0.34115
2206531 0.34418
2210921 0.34360
2215820 0.34303
2220741 0.34159
2225684 0.34006
2230649 0.33790
2235136 0.33747
2240143 0.33696
2245172 0.34496
2250225 0.35789
2255299 0.36984
2259887 0.37590
2265005 0.38230
2270147 0.38335
2275312 0.37940
2279981 0.37534
2285191 0.37413
2290426 0.37288
2295684 0.37648
2300966 0.38818
2305741 0.40047
2311070 0.40907
2316423 0.41674
2321801 0.42316
2327205 0.42501
2332089 0.42686
2337540 0.42745
2343017 0.42738
2348520 0.42760
2353494 0.43156
2359046 0.43595
2364625 0.43657
2370229 0.43338
2375861 0.42957
2380952 0.42942
2386634 0.42964
2392344 0.43274
2398081 0.44185
2403846 0.45068
2409058 0.45801
2414875 0.46503
2420721 0.46892
2426595 0.46046
2431906 0.45222
2437835 0.44465
2443792 0.43745
2449779 0.43085
2455795 0.43595
2461235 0.44105
2467308 0.44832
2473410 0.45799
2479543 0.46766
2485707 0.46564
2491280 0.46227
2497502 0.45792
2503755 0.45147
2510040 0.44502
2515723 0.44607
2522068 0.44975
2528445 0.45334
2534854 0.45717
2541296 0.46093
2547121 0.46295
2553626 0.46385
2560163 0.46483
2566735 0.47000
2573340 0.47517
2579313 0.48042
2585983 0.48574
2592688 0.49106
2599428 0.48672
2605523 0.48087
2612330 0.47427
2619172 0.46573
2626050 0.45718
2632964 0.46025
2639218 0.46715
2646202 0.47507
2653223 0.49270
2660281 0.50588
2666666 0.50894
2673796 0.50267
2680965 0.49053
2688172 0.47295
2695417 0.45947
2701972 0.45477
2709292 0.44971
2716653 0.45675
2724053 0.46308
2731494 0.46568
2738225 0.47064
2745744 0.47005
2753303 0.46405
2760905 0.45369
2767783 0.44590
2775464 0.44180
2783189 0.44028
2790957 0.43068
2798768 0.42362
2805836 0.41495
2813731 0.40113
2821670 0.38355
2829654 0.37065
2837684 0.34334
2844950 0.33939
2853067 0.36181
2861230 0.32961
2869440 0.33200
2876869 0.31518
2885170 0.29043
2893518 0.25748
2901915 0.22552
2910360 0.18927
2918004 0.15876
2926543 0.13180
2935133 0.10698
2943773 0.06137
2952465 0.02760
2960331 0.01510
2969121 0.00907
2977963 0.00562
2986857 0.00361
2994908 0.00293
3003905 0.00246
3012955 0.00222
3022061 0.00210
3031221 0.00200
3039513 0.00190
3048780 0.00180
3058103 0.00165
3067484 0.00149
3076923 0.00134
3085467 0.00116
3095017 0.00103
3104625 0.00092
3114294 0.00081
3123048 0.00071
3132832 0.00061
3142677 0.00052
3152585 0.00043
3162555 0.00036
3171582 0.00029
3181673 0.00024
3191828 0.00021
3202049 0.00019
3211303 0.00017
3221649 0.00016
3232062 0.00015
3242542 0.00013
3253090 0.00012
3262642 0.00011
3273322 0.00010
3284072 0.00009
3294892 0.00008
3305785 0.00007
3315649 0.00007
3326679 0.00006
3337783 0.00006
3348961 0.00005
3359086 0.00005
3370407 0.00005
3381805 0.00004
3393281 0.00004
3404834 0.00004
3415300 0.00003
3427004 0.00003
3438789 0.00003
3450655 0.00003
3462603 0.00003
3473428 0.00002
3485535 0.00002
3497726 0.00002
